,NAME,Position,eb_FG_estimate,FG_alpha,FG_beta,eb_FT_estimate,FT_alpha,FT_beta,eb_3P_estimate,3P_alpha,3P_beta
0,Aaron Gordon,F,0.4970395718539342,34.99085867903995,36.55678897036846,0.7586007157915793,30.430329859332772,9.328210755304935,0.3165225708760486,1.5308388142484306,3.2945762473932465
1,Al Horford,C-F,0.5549358617761225,23.635134544009638,19.255955000091106,0.7536170715821033,48.56218141746356,15.879826742983077,0.37233355501214777,0.4669306114810614,1.626257876407367
2,Alex Caruso,G,0.4556675323092067,90.70105521815613,109.17156793395436,0.8063596171051167,23.04026141963799,5.533406822421533,0.4082292571155522,2.7828371664734424,5.4061607067098825
3,Alperen Sengun,C-F,0.5410703606358236,23.635134544009638,19.255955000091106,0.7401531571313946,48.56218141746356,15.879826742983077,0.2616111255549434,0.4669306114810614,1.626257876407367
4,Amen Thompson,G,0.4595054781084136,90.70105521815613,109.17156793395436,0.7993926221527359,23.04026141963799,5.533406822421533,0.3241715610275412,2.7828371664734424,5.4061607067098825
5,Andre Drummond,C,0.6120651107755006,25.321389968618398,16.267017301381586,0.6566171135871993,11.298709417261428,5.925798260326362,0.0,0.1661969325996309,1.1041625851149328
6,Andrew Wiggins,F-G,0.47947026992954794,86.21196888219178,92.63433452303207,0.7976517226397751,18.714294971875105,4.955971376161066,0.3529384846430565,56.40211760164322,103.35643492283856
7,Anfernee Simons,G,0.4529297110670596,90.70105521815613,109.17156793395436,0.8195023742260195,23.04026141963799,5.533406822421533,0.36669908292748044,2.7828371664734424,5.4061607067098825
8,Anthony Davis,F-C,0.5474942511245565,32.17612172546165,27.344806602137755,0.7607593922347493,29.542146455562055,10.100700097378843,0.2980115042703138,11.070113697699828,25.530621924052834
9,Anthony Edwards,G-F,0.4640754179241841,90.53494371754883,103.77130135540531,0.8109560529869198,30.612642239951633,7.867438537600101,0.33769147359373963,34.97276827138279,67.18160059400834
10,Ausar Thompson,G,0.4536900431326567,90.70105521815613,109.17156793395436,0.7812440742703208,23.04026141963799,5.533406822421533,0.3181945750359855,2.7828371664734424,5.4061607067098825
11,Austin Reaves,G,0.45092828208725855,90.70105521815613,109.17156793395436,0.7960635828149886,23.04026141963799,5.533406822421533,0.32031712331996987,2.7828371664734424,5.4061607067098825
12,Bam Adebayo,C-F,0.5510059638712635,23.635134544009638,19.255955000091106,0.7543824522114486,48.56218141746356,15.879826742983077,0.2981561386889001,0.4669306114810614,1.626257876407367
13,Ben Simmons,G-F,0.4684880022112909,90.53494371754883,103.77130135540531,0.7853237431088318,30.612642239951633,7.867438537600101,0.0,34.97276827138279,67.18160059400834
14,Bennedict Mathurin,G-F,0.4618708795158624,90.53494371754883,103.77130135540531,0.7943271901401847,30.612642239951633,7.867438537600101,0.343431967491529,34.97276827138279,67.18160059400834
15,Bobby Portis,F,0.4863652350024178,34.99085867903995,36.55678897036846,0.7563242526227609,30.430329859332772,9.328210755304935,0.4168296197043179,1.5308388142484306,3.2945762473932465
16,Bradley Beal,G,0.4622087633383758,90.70105521815613,109.17156793395436,0.8154581612456396,23.04026141963799,5.533406822421533,0.46345069488181717,2.7828371664734424,5.4061607067098825
17,Brandin Podziemski,G,0.45600521469769995,90.70105521815613,109.17156793395436,0.8085293105573365,23.04026141963799,5.533406822421533,0.37612526931047024,2.7828371664734424,5.4061607067098825
18,Brandon Ingram,F,0.49249493652452897,34.99085867903995,36.55678897036846,0.7651121604653672,30.430329859332772,9.328210755304935,0.30993695410157945,1.5308388142484306,3.2945762473932465
19,Brandon Miller,F-G,0.48126984816847795,86.21196888219178,92.63433452303207,0.8056189908825736,18.714294971875105,4.955971376161066,0.3551243278262982,56.40211760164322,103.35643492283856
20,Brook Lopez,C,0.5877232956069841,25.321389968618398,16.267017301381586,0.6714555148807694,11.298709417261428,5.925798260326362,0.3443790969009195,0.1661969325996309,1.1041625851149328
21,Buddy Hield,G-F,0.46379326467714566,90.53494371754883,103.77130135540531,0.7993212886631089,30.612642239951633,7.867438537600101,0.34567210573560125,34.97276827138279,67.18160059400834
22,CJ McCollum,G,0.4559567344389846,90.70105521815613,109.17156793395436,0.8161652524168818,23.04026141963799,5.533406822421533,0.43501033188004756,2.7828371664734424,5.4061607067098825
23,Cade Cunningham,G,0.45151933697399765,90.70105521815613,109.17156793395436,0.8047793647393232,23.04026141963799,5.533406822421533,0.3219046250814813,2.7828371664734424,5.4061607067098825
24,Cam Thomas,G,0.45260909364727964,90.70105521815613,109.17156793395436,0.825021565527039,23.04026141963799,5.533406822421533,0.3650537471164951,2.7828371664734424,5.4061607067098825
25,Cameron Johnson,F,0.47879859613937764,34.99085867903995,36.55678897036846,0.771449498217132,30.430329859332772,9.328210755304935,0.334660737177274,1.5308388142484306,3.2945762473932465
26,Caris LeVert,G-F,0.46681197831304116,90.53494371754883,103.77130135540531,0.7998253550379456,30.612642239951633,7.867438537600101,0.3438810428603362,34.97276827138279,67.18160059400834
27,Chris Boucher,F,0.500088474030641,34.99085867903995,36.55678897036846,0.7720583660869426,30.430329859332772,9.328210755304935,0.32973814531539686,1.5308388142484306,3.2945762473932465
28,Chris Paul,G,0.45290993659226436,90.70105521815613,109.17156793395436,0.8075670674903848,23.04026141963799,5.533406822421533,0.33165964193966957,2.7828371664734424,5.4061607067098825
29,Clint Capela,C,0.6137947776326445,25.321389968618398,16.267017301381586,0.6407838272876987,11.298709417261428,5.925798260326362,0.0,0.1661969325996309,1.1041625851149328
30,Coby White,G,0.4553007752086668,90.70105521815613,109.17156793395436,0.8055830664330643,23.04026141963799,5.533406822421533,0.3244713190345995,2.7828371664734424,5.4061607067098825
31,Collin Sexton,G,0.45394207923521246,90.70105521815613,109.17156793395436,0.8116391042519181,23.04026141963799,5.533406822421533,0.32170137473415006,2.7828371664734424,5.4061607067098825
32,D'Angelo Russell,G,0.4503214410012613,90.70105521815613,109.17156793395436,0.8144081669956716,23.04026141963799,5.533406822421533,0.35393637442455794,2.7828371664734424,5.4061607067098825
33,Damian Lillard,G,0.44964067227736293,90.70105521815613,109.17156793395436,0.8220778176905369,23.04026141963799,5.533406822421533,0.3341276317188884,2.7828371664734424,5.4061607067098825
34,Daniel Gafford,C-F,0.5845766900911304,23.635134544009638,19.255955000091106,0.746514960131572,48.56218141746356,15.879826742983077,0.0,0.4669306114810614,1.626257876407367
35,Darius Garland,G,0.45229111797643834,90.70105521815613,109.17156793395436,0.8068497121513765,23.04026141963799,5.533406822421533,0.36843718726941554,2.7828371664734424,5.4061607067098825
36,De'Aaron Fox,G,0.4555841513920737,90.70105521815613,109.17156793395436,0.8058817689655954,23.04026141963799,5.533406822421533,0.3747500406740644,2.7828371664734424,5.4061607067098825
37,De'Andre Hunter,F,0.47511938733624826,34.99085867903995,36.55678897036846,0.7667380560652757,30.430329859332772,9.328210755304935,0.3073409026306191,1.5308388142484306,3.2945762473932465
38,De'Anthony Melton,G,0.4500984063887932,90.70105521815613,109.17156793395436,0.8104788563908182,23.04026141963799,5.533406822421533,0.3420413791736161,2.7828371664734424,5.4061607067098825
39,DeMar DeRozan,G-F,0.4706812716647763,90.53494371754883,103.77130135540531,0.7957234271351572,30.612642239951633,7.867438537600101,0.3435806532207641,34.97276827138279,67.18160059400834
40,Deandre Ayton,C,0.5839095313661968,25.321389968618398,16.267017301381586,0.6687663626866029,11.298709417261428,5.925798260326362,0.07854326948402074,0.1661969325996309,1.1041625851149328
41,Dejounte Murray,G,0.4524797598626525,90.70105521815613,109.17156793395436,0.7966809111655643,23.04026141963799,5.533406822421533,0.3447855132939577,2.7828371664734424,5.4061607067098825
42,Deni Avdija,G-F,0.46699141246258763,90.53494371754883,103.77130135540531,0.7935405771682782,30.612642239951633,7.867438537600101,0.3405336739872181,34.97276827138279,67.18160059400834
43,Dereck Lively II,C,0.6239194676368148,25.321389968618398,16.267017301381586,0.6387676435521948,11.298709417261428,5.925798260326362,0.0,0.1661969325996309,1.1041625851149328
44,Derrick Jones Jr.,F,0.48169083194467854,34.99085867903995,36.55678897036846,0.761968924265365,30.430329859332772,9.328210755304935,0.3101638723303944,1.5308388142484306,3.2945762473932465
45,Derrick White,G,0.45236962490030425,90.70105521815613,109.17156793395436,0.8134116453362134,23.04026141963799,5.533406822421533,0.34534859241135035,2.7828371664734424,5.4061607067098825
46,Desmond Bane,G,0.4503378416718039,90.70105521815613,109.17156793395436,0.8203669230357253,23.04026141963799,5.533406822421533,0.35124512343875297,2.7828371664734424,5.4061607067098825
47,Devin Booker,G,0.4548119311970038,90.70105521815613,109.17156793395436,0.8286269038682862,23.04026141963799,5.533406822421533,0.3479527200758836,2.7828371664734424,5.4061607067098825
48,Devin Vassell,G-F,0.4669831027662607,90.53494371754883,103.77130135540531,0.7989374129329817,30.612642239951633,7.867438537600101,0.34152777917134025,34.97276827138279,67.18160059400834
49,Domantas Sabonis,C-F,0.5754192320352188,23.635134544009638,19.255955000091106,0.7378867140696084,48.56218141746356,15.879826742983077,0.32777692742836106,0.4669306114810614,1.626257876407367
50,Donovan Mitchell,G,0.4503315062311123,90.70105521815613,109.17156793395436,0.8137092563840136,23.04026141963799,5.533406822421533,0.3611890797438654,2.7828371664734424,5.4061607067098825
51,Donte DiVincenzo,G,0.45430138602979286,90.70105521815613,109.17156793395436,0.8116847579618378,23.04026141963799,5.533406822421533,0.37451327417536895,2.7828371664734424,5.4061607067098825
52,Draymond Green,F,0.49390276300355085,34.99085867903995,36.55678897036846,0.759260029746498,30.430329859332772,9.328210755304935,0.36407283392080453,1.5308388142484306,3.2945762473932465
53,Duncan Robinson,G-F,0.46262135144441974,90.53494371754883,103.77130135540531,0.7975116254693908,30.612642239951633,7.867438537600101,0.3397520208718368,34.97276827138279,67.18160059400834
54,Dyson Daniels,G,0.4516049814843599,90.70105521815613,109.17156793395436,0.8030205599253387,23.04026141963799,5.533406822421533,0.3250235876602329,2.7828371664734424,5.4061607067098825
55,Evan Mobley,F-C,0.5418532807181518,32.17612172546165,27.344806602137755,0.7500620285667222,29.542146455562055,10.100700097378843,0.3075108872231239,11.070113697699828,25.530621924052834
56,Franz Wagner,G-F,0.4681005839713344,90.53494371754883,103.77130135540531,0.803738160240872,30.612642239951633,7.867438537600101,0.33773433344805137,34.97276827138279,67.18160059400834
57,Fred VanVleet,G,0.45152466287651616,90.70105521815613,109.17156793395436,0.8110604074751092,23.04026141963799,5.533406822421533,0.37970108644919,2.7828371664734424,5.4061607067098825
58,Gary Trent Jr.,G,0.45164200430867,90.70105521815613,109.17156793395436,0.8117553733603314,23.04026141963799,5.533406822421533,0.32569842271741706,2.7828371664734424,5.4061607067098825
59,Giannis Antetokounmpo,F-G,0.4917251256736855,86.21196888219178,92.63433452303207,0.7451393689324264,18.714294971875105,4.955971376161066,0.3509739814911493,56.40211760164322,103.35643492283856
60,Grayson Allen,G,0.45379776569350666,90.70105521815613,109.17156793395436,0.8082920281920513,23.04026141963799,5.533406822421533,0.351040221863757,2.7828371664734424,5.4061607067098825
61,Harrison Barnes,F,0.48573305833270625,34.99085867903995,36.55678897036846,0.763641027781151,30.430329859332772,9.328210755304935,0.29764993443451826,1.5308388142484306,3.2945762473932465
62,Herbert Jones,F,0.4822720942250057,34.99085867903995,36.55678897036846,0.7741107844818594,30.430329859332772,9.328210755304935,0.35027756625078627,1.5308388142484306,3.2945762473932465
63,Immanuel Quickley,G,0.45185596556557095,90.70105521815613,109.17156793395436,0.8261893976413915,23.04026141963799,5.533406822421533,0.34484983370563144,2.7828371664734424,5.4061607067098825
64,Isaiah Hartenstein,F,0.5059106348906587,34.99085867903995,36.55678897036846,0.7528364308577707,30.430329859332772,9.328210755304935,0.0,1.5308388142484306,3.2945762473932465
65,Ivica Zubac,C,0.6113907989089284,25.321389968618398,16.267017301381586,0.6816952587860108,11.298709417261428,5.925798260326362,0.0,0.1661969325996309,1.1041625851149328
66,Ja Morant,G,0.4551504333422478,90.70105521815613,109.17156793395436,0.8034890062875348,23.04026141963799,5.533406822421533,0.32484661020451006,2.7828371664734424,5.4061607067098825
67,Jabari Smith Jr.,F,0.4843543162285738,34.99085867903995,36.55678897036846,0.7621782466228586,30.430329859332772,9.328210755304935,0.3457867025227917,1.5308388142484306,3.2945762473932465
68,Jaden Ivey,G,0.4490856137932163,90.70105521815613,109.17156793395436,0.7910934354120933,23.04026141963799,5.533406822421533,0.35555066951663544,2.7828371664734424,5.4061607067098825
69,Jaden McDaniels,F,0.4870662245763878,34.99085867903995,36.55678897036846,0.7660103917401222,30.430329859332772,9.328210755304935,0.30020055274982466,1.5308388142484306,3.2945762473932465
70,Jaime Jaquez Jr.,G-F,0.4678438052593287,90.53494371754883,103.77130135540531,0.8007173923857386,30.612642239951633,7.867438537600101,0.34351844187165725,34.97276827138279,67.18160059400834
71,Jakob Poeltl,C,0.5976315860320099,25.321389968618398,16.267017301381586,0.6475830488505063,11.298709417261428,5.925798260326362,0.0,0.1661969325996309,1.1041625851149328
72,Jalen Brunson,G,0.4584449690953139,90.70105521815613,109.17156793395436,0.8217446533234114,23.04026141963799,5.533406822421533,0.37582310745245173,2.7828371664734424,5.4061607067098825
73,Jalen Duren,C,0.5954077778644631,25.321389968618398,16.267017301381586,0.6963231127771272,11.298709417261428,5.925798260326362,0.11916132847336255,0.1661969325996309,1.1041625851149328
74,Jalen Green,G,0.4528580496907296,90.70105521815613,109.17156793395436,0.7969180060847063,23.04026141963799,5.533406822421533,0.3458482523428888,2.7828371664734424,5.4061607067098825
75,Jalen Johnson,F,0.4863431580033096,34.99085867903995,36.55678897036846,0.7666920358156856,30.430329859332772,9.328210755304935,0.3028811424325788,1.5308388142484306,3.2945762473932465
76,Jalen Suggs,G,0.4563960725417596,90.70105521815613,109.17156793395436,0.8059501721601373,23.04026141963799,5.533406822421533,0.33936240393454076,2.7828371664734424,5.4061607067098825
77,Jalen Williams,G,0.45593595320330993,90.70105521815613,109.17156793395436,0.7996257952922106,23.04026141963799,5.533406822421533,0.3325961527308746,2.7828371664734424,5.4061607067098825
78,Jamal Murray,G,0.456697703294563,90.70105521815613,109.17156793395436,0.8176209450720177,23.04026141963799,5.533406822421533,0.39206926177440754,2.7828371664734424,5.4061607067098825
79,James Harden,G,0.44843846222241507,90.70105521815613,109.17156793395436,0.812585102216643,23.04026141963799,5.533406822421533,0.299588429008581,2.7828371664734424,5.4061607067098825
